day,cases,Rt
1,3.0,1.3
2,5.0,1.3
3,3.0,1.3
4,0.0,1.3
5,7.0,1.3
6,5.0,1.3
7,4.0,1.3
8,9.0,1.3
9,1.0,1.3
10,5.0,1.3
11,2.0,1.3
12,9.0,1.3
13,11.0,1.3
14,14.0,1.3
15,12.0,1.3
16,10.0,1.3
17,13.0,1.3
18,4.0,1.3
19,13.0,1.3
20,17.0,1.3
21,18.0,1.3
22,19.0,1.3
23,16.0,1.3
24,27.0,1.3
25,15.0,1.3
26,34.0,1.3
27,16.0,1.3
28,32.0,1.3
29,25.0,1.3
30,36.0,1.3
31,43.0,1.3
32,62.0,1.3
33,20.0,1.3
34,71.0,1.3
35,43.0,1.3
36,62.0,1.3
37,29.0,1.3
38,73.0,1.3
39,69.0,1.3
40,110.0,1.3
41,121.0,1.3
42,120.0,1.3
43,139.0,1.3
44,120.0,1.3
45,113.0,1.3
46,135.0,1.3
47,159.0,1.3
48,157.0,1.3
49,182.0,1.3
50,227.0,1.3
51,134.0,0.8
52,112.0,0.8
53,155.0,0.8
54,66.0,0.8
55,165.0,0.8
56,88.0,0.8
57,113.0,0.8
58,126.0,0.8
59,97.0,0.8
60,84.0,0.8
61,91.0,0.8
62,53.0,0.8
63,63.0,0.8
64,94.0,0.8
65,60.0,0.8
66,18.0,0.8
67,30.0,0.8
68,76.0,0.8
69,60.0,0.8
70,61.0,0.8
71,24.0,0.8
72,39.0,0.8
73,50.0,0.8
74,44.0,0.8
75,31.0,0.8
76,40.0,0.8
77,29.0,0.8
78,38.0,0.8
79,16.0,0.8
80,20.0,0.8
81,31.0,0.8
82,30.0,0.8
83,46.0,0.8
84,16.0,0.8
85,26.0,0.8
86,20.0,0.8
87,39.0,0.8
88,11.0,0.8
89,37.0,0.8
90,27.0,0.8
91,28.0,0.8
92,32.0,0.8
93,13.0,0.8
94,14.0,0.8
95,30.0,0.8
96,28.0,0.8
97,11.0,0.8
98,5.0,0.8
99,22.0,0.8
100,9.0,0.8
