day,cases,Rt
1,17.0,2.5
2,9.0,2.5
3,12.0,2.5
4,13.0,2.5
5,14.0,2.5
6,17.0,2.5
7,16.0,2.5
8,14.0,2.5
9,11.0,2.5
10,10.0,2.5
11,18.0,2.5
12,18.0,2.5
13,30.0,2.5
14,21.0,2.5
15,29.0,2.5
16,16.0,2.5
17,32.0,2.5
18,28.0,2.5
19,25.0,2.5
20,28.0,2.5
21,36.0,2.5
22,50.0,2.5
23,41.0,2.5
24,43.0,2.5
25,44.0,2.5
26,41.0,2.5
27,54.0,2.5
28,51.0,2.5
29,68.0,2.5
30,68.0,2.5
31,77.0,2.5
32,83.0,2.5
33,72.0,2.5
34,83.0,2.5
35,99.0,2.5
36,115.0,2.5
37,92.0,2.5
38,112.0,2.5
39,129.0,2.5
40,113.0,2.5
41,150.0,2.5
42,136.0,2.5
43,136.0,2.5
44,165.0,2.5
45,166.0,2.5
46,188.0,2.5
47,203.0,2.5
48,231.0,2.5
49,233.0,2.5
50,226.0,2.5
51,55.0,0.5
52,66.0,0.5
53,56.0,0.5
54,43.0,0.5
55,64.0,0.5
56,65.0,0.5
57,64.0,0.5
58,71.0,0.5
59,55.0,0.5
60,56.0,0.5
61,62.0,0.5
62,60.0,0.5
63,72.0,0.5
64,51.0,0.5
65,56.0,0.5
66,46.0,0.5
67,53.0,0.5
68,51.0,0.5
69,39.0,0.5
70,50.0,0.5
71,46.0,0.5
72,39.0,0.5
73,37.0,0.5
74,36.0,0.5
75,31.0,0.5
76,30.0,0.5
77,32.0,0.5
78,30.0,0.5
79,39.0,0.5
80,25.0,0.5
81,25.0,0.5
82,29.0,0.5
83,32.0,0.5
84,35.0,0.5
85,34.0,0.5
86,19.0,0.5
87,29.0,0.5
88,34.0,0.5
89,24.0,0.5
90,23.0,0.5
91,22.0,0.5
92,18.0,0.5
93,18.0,0.5
94,22.0,0.5
95,21.0,0.5
96,17.0,0.5
97,15.0,0.5
98,19.0,0.5
99,14.0,0.5
100,17.0,0.5
101,15.0,0.5
102,12.0,0.5
103,17.0,0.5
104,9.0,0.5
105,11.0,0.5
106,13.0,0.5
107,12.0,0.5
108,9.0,0.5
109,8.0,0.5
110,6.0,0.5
111,11.0,0.5
112,6.0,0.5
113,6.0,0.5
114,9.0,0.5
115,9.0,0.5
116,9.0,0.5
117,6.0,0.5
118,7.0,0.5
119,9.0,0.5
120,4.0,0.5
121,2.0,0.5
122,4.0,0.5
123,7.0,0.5
124,7.0,0.5
125,5.0,0.5
126,5.0,0.5
127,3.0,0.5
128,6.0,0.5
129,0.0,0.5
130,4.0,0.5
131,0.0,0.5
132,7.0,0.5
133,4.0,0.5
134,1.0,0.5
135,3.0,0.5
136,0.0,0.5
137,3.0,0.5
138,7.0,0.5
139,2.0,0.5
140,4.0,0.5
141,1.0,0.5
142,1.0,0.5
143,0.0,0.5
144,3.0,0.5
145,1.0,0.5
146,1.0,0.5
147,1.0,0.5
148,1.0,0.5
149,3.0,0.5
150,2.0,0.5
151,0.0,0.5
152,2.0,0.5
153,1.0,0.5
154,4.0,0.5
155,1.0,0.5
156,1.0,0.5
157,2.0,0.5
158,0.0,0.5
159,1.0,0.5
160,0.0,0.5
161,3.0,0.5
162,0.0,0.5
163,1.0,0.5
164,2.0,0.5
165,0.0,0.5
166,1.0,0.5
167,1.0,0.5
168,2.0,0.5
169,0.0,0.5
170,0.0,0.5
171,1.0,0.5
172,1.0,0.5
173,0.0,0.5
174,1.0,0.5
175,0.0,0.5
176,0.0,0.5
177,1.0,0.5
178,0.0,0.5
179,0.0,0.5
180,1.0,0.5
181,2.0,0.5
182,0.0,0.5
183,1.0,0.5
184,0.0,0.5
185,0.0,0.5
186,1.0,0.5
187,1.0,0.5
188,2.0,0.5
189,0.0,0.5
190,0.0,0.5
191,0.0,0.5
192,0.0,0.5
193,1.0,0.5
194,0.0,0.5
195,0.0,0.5
196,0.0,0.5
197,0.0,0.5
198,0.0,0.5
199,0.0,0.5
200,1.0,0.5
201,0.0,0.5
202,0.0,0.5
203,0.0,0.5
204,0.0,0.5
205,1.0,0.5
206,0.0,0.5
207,0.0,0.5
208,0.0,0.5
209,0.0,0.5
210,0.0,0.5
211,0.0,0.5
212,0.0,0.5
213,0.0,0.5
214,0.0,0.5
215,0.0,0.5
216,0.0,0.5
217,0.0,0.5
218,0.0,0.5
219,0.0,0.5
220,0.0,0.5
221,0.0,0.5
222,0.0,0.5
223,0.0,0.5
224,0.0,0.5
225,0.0,0.5
226,0.0,2.5
227,0.0,2.5
228,0.0,2.5
229,0.0,2.5
230,1.0,2.5
231,0.0,2.5
232,1.0,2.5
233,0.0,2.5
234,0.0,2.5
235,0.0,2.5
236,0.0,2.5
237,0.0,2.5
238,0.0,2.5
239,0.0,2.5
240,1.0,2.5
241,0.0,2.5
242,0.0,2.5
243,0.0,2.5
244,0.0,2.5
245,0.0,2.5
246,2.0,2.5
247,0.0,2.5
248,0.0,2.5
249,0.0,2.5
250,1.0,2.5
251,1.0,2.5
252,0.0,2.5
253,1.0,2.5
254,0.0,2.5
255,0.0,2.5
256,0.0,2.5
257,0.0,2.5
258,0.0,2.5
259,0.0,2.5
260,0.0,2.5
261,0.0,2.5
262,0.0,2.5
263,0.0,2.5
264,1.0,2.5
265,0.0,2.5
266,1.0,2.5
267,0.0,2.5
268,1.0,2.5
269,1.0,2.5
270,0.0,2.5
271,1.0,2.5
272,0.0,2.5
273,1.0,2.5
274,1.0,2.5
275,1.0,2.5
276,2.0,2.5
277,1.0,2.5
278,1.0,2.5
279,3.0,2.5
280,1.0,2.5
281,1.0,2.5
282,3.0,2.5
283,1.0,2.5
284,2.0,2.5
285,4.0,2.5
286,4.0,2.5
287,1.0,2.5
288,4.0,2.5
289,2.0,2.5
290,3.0,2.5
291,6.0,2.5
292,7.0,2.5
293,4.0,2.5
294,1.0,2.5
295,6.0,2.5
296,6.0,2.5
297,4.0,2.5
298,4.0,2.5
299,4.0,2.5
300,6.0,2.5
