day,cases,Rt
1,9.0,2.5
2,12.0,2.5
3,12.0,2.5
4,15.0,2.5
5,9.0,2.5
6,11.0,2.5
7,12.0,2.5
8,9.0,2.5
9,18.0,2.5
10,8.0,2.5
11,16.0,2.5
12,21.0,2.5
13,15.0,2.5
14,11.0,2.5
15,13.0,2.5
16,14.0,2.5
17,28.0,2.5
18,26.0,2.5
19,20.0,2.5
20,31.0,2.5
21,25.0,2.5
22,28.0,2.5
23,35.0,2.5
24,31.0,2.5
25,50.0,2.5
26,41.0,2.5
27,41.0,2.5
28,43.0,2.5
29,53.0,2.5
30,48.0,2.5
31,60.0,2.5
32,62.0,2.5
33,55.0,2.5
34,63.0,2.5
35,67.0,2.5
36,81.0,2.5
37,77.0,2.5
38,98.0,2.5
39,91.0,2.5
40,93.0,2.5
41,101.0,2.5
42,106.0,2.5
43,125.0,2.5
44,130.0,2.5
45,134.0,2.5
46,147.0,2.5
47,165.0,2.5
48,167.0,2.5
49,176.0,2.5
50,206.0,2.5
51,42.0,0.5
52,54.0,0.5
53,59.0,0.5
54,47.0,0.5
55,52.0,0.5
56,51.0,0.5
57,56.0,0.5
58,51.0,0.5
59,48.0,0.5
60,51.0,0.5
61,52.0,0.5
62,42.0,0.5
63,52.0,0.5
64,45.0,0.5
65,41.0,0.5
66,45.0,0.5
67,38.0,0.5
68,46.0,0.5
69,34.0,0.5
70,30.0,0.5
71,38.0,0.5
72,31.0,0.5
73,22.0,0.5
74,35.0,0.5
75,32.0,0.5
76,37.0,0.5
77,35.0,0.5
78,20.0,0.5
79,31.0,0.5
80,25.0,0.5
81,26.0,0.5
82,31.0,0.5
83,18.0,0.5
84,21.0,0.5
85,19.0,0.5
86,20.0,0.5
87,18.0,0.5
88,18.0,0.5
89,21.0,0.5
90,25.0,0.5
91,18.0,0.5
92,15.0,0.5
93,13.0,0.5
94,12.0,0.5
95,13.0,0.5
96,18.0,0.5
97,13.0,0.5
98,13.0,0.5
99,16.0,0.5
100,9.0,0.5
101,16.0,0.5
102,9.0,0.5
103,12.0,0.5
104,13.0,0.5
105,11.0,0.5
106,5.0,0.5
107,5.0,0.5
108,6.0,0.5
109,9.0,0.5
110,5.0,0.5
111,9.0,0.5
112,7.0,0.5
113,13.0,0.5
114,7.0,0.5
115,10.0,0.5
116,5.0,0.5
117,5.0,0.5
118,5.0,0.5
119,11.0,0.5
120,5.0,0.5
121,5.0,0.5
122,7.0,0.5
123,5.0,0.5
124,6.0,0.5
125,2.0,0.5
126,8.0,0.5
127,2.0,0.5
128,0.0,0.5
129,3.0,0.5
130,4.0,0.5
131,10.0,0.5
132,0.0,0.5
133,2.0,0.5
134,3.0,0.5
135,2.0,0.5
136,5.0,0.5
137,1.0,0.5
138,2.0,0.5
139,3.0,0.5
140,0.0,0.5
141,2.0,0.5
142,1.0,0.5
143,1.0,0.5
144,1.0,0.5
145,1.0,0.5
146,0.0,0.5
147,1.0,0.5
148,1.0,0.5
149,2.0,0.5
150,1.0,0.5
151,1.0,0.5
152,1.0,0.5
153,1.0,0.5
154,3.0,0.5
155,0.0,0.5
156,1.0,0.5
157,2.0,0.5
158,0.0,0.5
159,1.0,0.5
160,0.0,0.5
161,0.0,0.5
162,0.0,0.5
163,1.0,0.5
164,0.0,0.5
165,0.0,0.5
166,0.0,0.5
167,0.0,0.5
168,2.0,0.5
169,0.0,0.5
170,0.0,0.5
171,0.0,0.5
172,0.0,0.5
173,0.0,0.5
174,1.0,0.5
175,0.0,0.5
176,1.0,0.5
177,0.0,0.5
178,2.0,0.5
179,1.0,0.5
180,0.0,0.5
181,1.0,0.5
182,0.0,0.5
183,0.0,0.5
184,0.0,0.5
185,0.0,0.5
186,0.0,0.5
187,0.0,0.5
188,0.0,0.5
189,0.0,0.5
190,0.0,0.5
191,1.0,0.5
192,0.0,0.5
193,0.0,0.5
194,0.0,0.5
195,0.0,0.5
196,1.0,0.5
197,1.0,0.5
198,0.0,0.5
199,0.0,0.5
200,0.0,0.5
201,0.0,0.5
202,0.0,0.5
203,0.0,0.5
204,0.0,0.5
205,0.0,0.5
206,0.0,0.5
207,0.0,0.5
208,0.0,0.5
209,0.0,0.5
